order_id,product_id,quantity,unit_price
1,1,1,1299.99
1,2,1,29.99
2,3,1,79.99
3,4,1,199.99
4,5,2,39.99
5,1,1,1299.99
6,2,3,29.99
7,4,2,199.99
8,9,2,511.05
9,2,4,1388.41
10,4,1,480.45
11,4,2,935.67
12,5,3,674.75
13,4,1,72.41
14,4,2,604.22
15,10,3,252.24
16,7,2,579.98
17,5,5,553.82
18,1,5,514.33
19,9,4,1229.33
20,6,1,193.14
21,8,3,755.47
22,7,3,30.11
23,5,1,681.17
24,10,5,42.28
25,7,5,1016.25
26,1,1,974.51
27,4,3,325.76
28,6,5,1160.0
29,8,3,1314.0
30,3,5,1105.07
31,4,2,221.78
32,7,4,1339.51
33,2,3,823.29
34,8,2,1358.82
35,4,1,248.64
36,9,5,1187.04
37,3,3,450.36
38,2,5,360.16
39,9,4,1410.56
40,3,2,558.97
41,9,1,184.77
42,8,5,622.18
43,6,4,1249.33
44,2,4,1136.59
45,9,2,1410.74
46,6,3,1155.8
47,2,4,719.55
48,6,2,128.6
49,3,5,1156.63
50,2,4,335.65
51,10,1,317.75
52,5,1,344.34
53,5,3,1318.2
54,7,3,1077.08
55,9,4,740.58
56,10,5,333.34
57,9,3,125.19
58,9,2,1155.35
59,5,5,1178.52
60,6,2,1422.92
61,2,2,790.83
62,8,4,413.94
63,2,2,437.79
64,8,1,300.53
65,2,2,238.67
66,7,3,1163.98
67,4,4,1037.55
68,8,3,1331.21
69,9,4,132.67
70,9,3,114.8
71,7,2,585.33
72,6,1,88.72
73,8,5,198.92
74,6,4,47.97
75,1,4,918.83
76,1,4,820.02
77,4,1,891.02
78,1,4,820.61
79,2,4,208.46
80,4,1,857.46
81,8,1,313.24
82,4,1,920.85
83,8,3,410.2
84,4,5,1078.37
85,5,1,1426.76
86,1,1,86.4
87,1,1,793.92
88,5,1,1459.57
89,7,5,246.4
90,9,4,747.84
91,4,5,146.86
92,9,4,1074.38
93,2,5,914.63
94,2,1,523.46
95,4,5,153.83
96,10,5,638.81
97,10,1,170.05
98,8,5,1179.52
99,8,1,926.45
100,3,4,818.46
101,4,1,1148.76
102,3,1,795.29
103,1,2,1257.3
104,9,5,1024.08
105,5,3,1081.28
106,5,2,1442.43
107,2,1,30.98
108,9,2,697.03
109,4,2,481.74
110,1,1,1400.01
111,4,1,979.56
112,6,2,703.82
113,5,1,1368.67
114,3,3,900.4
115,8,3,949.27
116,9,5,809.76
117,1,3,646.04
118,8,3,1216.01
119,7,3,564.05
120,4,1,877.73
121,10,4,291.83
122,4,5,1378.0
123,7,3,526.25
124,10,4,17.33
125,6,4,935.38
126,1,2,1060.7
127,10,5,582.04
128,5,1,974.61
129,10,5,1452.98
130,7,2,231.55
131,3,5,1497.0
132,1,4,466.24
133,10,2,548.55
134,7,2,1053.36
135,2,5,1472.53
136,4,5,163.28
137,2,2,25.52
138,7,2,1097.35
139,3,5,1425.33
140,6,1,621.87
141,7,4,815.26
142,2,2,994.51
143,2,4,1302.72
144,6,5,446.99
145,8,5,1457.19
146,2,1,513.82
147,2,5,40.03
148,6,1,228.45
149,1,2,974.02
150,9,4,1382.7
151,10,4,1029.59
152,7,1,556.61
153,4,5,726.02
154,4,5,876.88
155,6,3,216.13
156,3,3,1226.01
157,9,3,1218.17
158,7,1,1009.84
159,1,2,1032.84
160,8,3,1145.47
161,1,5,1240.68
162,4,1,80.4
163,8,2,751.5
164,10,4,725.4
165,1,5,1097.73
166,3,4,674.31
167,10,3,898.1
168,2,1,1087.94
169,8,2,1430.38
170,10,4,1177.94
171,6,1,563.79
172,6,4,1470.21
173,1,3,1062.01
174,3,1,653.55
175,2,5,885.0
176,6,5,237.71
177,6,3,1086.72
178,9,2,710.9
179,3,4,1115.27
180,5,3,725.08
181,1,5,1399.27
182,10,5,1424.67
183,2,2,516.2
184,10,2,736.01
185,9,4,1374.91
186,3,5,871.6
187,3,4,351.39
188,9,5,355.96
189,10,2,84.83
190,6,1,403.52
191,5,3,535.44
192,8,3,885.26
193,1,1,1418.52
194,5,4,98.79
195,9,5,1453.28
196,6,3,715.01
197,8,2,203.86
198,9,3,551.06
199,6,5,116.95
200,1,2,741.46
201,8,5,869.29
202,4,5,919.73
203,3,5,717.93
204,5,1,721.85
205,7,4,989.21
206,8,5,189.98
207,2,4,1498.36
208,9,1,1125.09
209,8,5,24.11
210,1,5,612.91
211,3,3,814.95
212,5,2,1063.87
213,7,1,1471.57
214,9,3,1173.76
215,10,2,1459.84
216,2,4,961.93
217,5,5,1032.75
218,3,4,862.7
219,8,5,435.47
220,9,3,344.63
221,1,2,1340.02
222,5,4,197.12
223,6,4,1320.1
224,5,1,964.2
225,4,3,947.75
226,6,3,515.37
227,6,5,226.63
228,7,3,506.56
229,10,2,865.42
230,5,3,445.13
231,3,5,933.15
232,6,2,629.54
233,4,4,1452.69
234,1,2,972.49
235,2,5,179.59
236,9,3,1047.68
237,2,2,816.22
238,5,3,1355.68
239,1,2,258.05
240,6,3,1040.33
241,3,5,153.83
242,5,5,584.8
243,6,4,74.55
244,2,4,455.31
245,8,2,1383.85
246,8,5,736.29
247,7,3,1480.8
248,9,2,547.91
249,8,3,1356.54
250,10,5,1150.96
251,1,4,110.7
252,5,4,356.79
253,10,3,358.54
254,5,5,1245.58
255,8,4,888.42
256,5,3,1329.22
257,2,4,304.53
258,5,2,155.47
259,6,5,138.89
260,2,5,1247.43
261,2,1,481.84
262,6,2,60.66
263,1,3,1256.54
264,1,5,572.75
265,8,5,903.54
266,7,2,1064.72
267,8,5,1443.75
268,4,4,1332.46
269,3,2,1201.14
270,6,4,981.79
271,5,1,1344.74
272,2,4,1326.92
273,10,2,1214.5
274,3,3,1171.3
275,7,3,1091.05
276,5,3,516.74
277,10,5,1133.11
278,2,4,533.57
279,4,5,1466.73
280,10,3,158.27
281,8,2,166.67
282,1,4,1305.0
283,1,2,725.79
284,8,5,528.47
285,4,2,523.51
286,8,2,570.82
287,4,4,899.68
288,7,3,1342.9
289,4,4,538.54
290,3,4,1073.62
291,7,5,654.64
292,5,1,838.66
293,2,1,261.62
294,5,5,776.16
295,9,5,1012.48
296,5,5,371.28
297,10,2,357.32
298,6,2,1311.19
299,6,2,764.76
300,5,3,448.97
301,5,4,1333.8
302,5,4,346.05
303,6,1,481.16
304,7,2,479.0
305,1,2,756.41
306,7,4,924.06
